Ticker,STS,Number
FB,STS_16,-1.363974215
FB,STS_17,-0.281540179
FB,STS_Mean,-0.564669986
AMT,STS_1,0.063931709
AMT,STS_2,0.491084146
AMT,STS_3,0.449379081
AMT,STS_4,1.557002946
AMT,STS_5,-1.160855336
AMT,STS_6,-0.170357269
AMT,STS_7,-0.075425113
AMT,STS_8,1.504165501
AMT,STS_9,0.581646885
AMT,STS_10,1.377804746
AMT,STS_11,1.264727705
AMT,STS_12,0.361559382
AMT,STS_13,-1.219867708
AMT,STS_14,0.258226332
AMT,STS_15,-0.436618489
AMT,STS_16,1.174081881
AMT,STS_17,-0.497689836
AMT,STS_Mean,0.424432889
TSLA,STS_1,-0.601921883
TSLA,STS_2,-0.526868729
TSLA,STS_3,-0.495129683
TSLA,STS_4,0.475954155
TSLA,STS_5,-2.513615159
TSLA,STS_6,-0.176515245
TSLA,STS_7,0.539889465
TSLA,STS_8,0.049835687
TSLA,STS_9,-0.334160412
TSLA,STS_10,-0.77063299
TSLA,STS_11,-0.386597653
TSLA,STS_12,-0.24059125
TSLA,STS_13,0.621090009
TSLA,STS_14,-1.125999425
TSLA,STS_15,0.646985092
TSLA,STS_16,-0.820268762
TSLA,STS_17,0.318939783
TSLA,STS_Mean,-0.504790364
